"key";"ru";"en"
"E.G.";"например";"e.g."
"ENTER_ID";"Пожалуйста, введите логин";"Please enter your ID"
"CONTINUE";"Вперёд";"Continue"
"RESULTS_SAVED";"Ваш результат записан.";"Your results have been saved."
"CLOSE_BROWSER";"<br>Это окно можно закрыть.";"<br>You can close the browser window now."
"CORRECT";"Правильно!";"Correct!"
"INCORRECT";"Неверно.";"Incorrect."
"NEXT";"Далее";"Next"
"BACK";"Назад";"Back"
"FORWARD";"Вперёд";"Forward"
"SHOW_ANSWER";"Показать ответ";"Show answer"
"A";"А";"A"
"A";"А";"A"
"A";"А";"A"
