"key";"correct_answer";"choices";"logic"
"i1";"E";"A,B,C,D,E";"Image:
i1_question
i1_choice_A
i1_choice_B
i1_choice_C
i1_choice_D
i1_choice_E

A=0
B=0
C=0
D=0
E=1
"
"i2";"A";"A,B,C,D,E";"i2_question
i2_choice_A
i2_choice_B
i2_choice_C
i2_choice_D
i2_choice_E

A=1
B=0
C=0
D=0
E=0
"
"i3";"B";"A,B,C,D,E";"i3_question
i3_choice_A
i3_choice_B
i3_choice_C
i3_choice_D
i3_choice_E

A=0
B=1
C=0
D=0
E=0
"
"i4";"C";"A,B,C,D,E";"i4_question
i4_choice_A
i4_choice_B
i4_choice_C
i4_choice_D
i4_choice_E

A=0
B=1
C=0
D=0
E=0
"
"i5";"C";"A,B,C,D,E";"i5_question
i5_choice_A
i5_choice_B
i5_choice_C
i5_choice_D
i5_choice_E

A=0
B=0
C=1
D=0
E=0
"
"i6";"C";"A,B,C,D,E";"i6_question
i6_choice_A
i6_choice_B
i6_choice_C
i6_choice_D
i6_choice_E

A=0
B=0
C=1
D=0
E=0
"
"i7";"C";"A,B,C,D,E";"i7_question
i7_choice_A
i7_choice_B
i7_choice_C
i7_choice_D
i7_choice_E

A=0
B=0
C=1
D=0
E=0
"
"i8";"A";"A,B,C,D,E";"i8_question
i8_choice_A
i8_choice_B
i8_choice_C
i8_choice_D
i8_choice_E

A=1
B=0
C=0
D=0
E=0
"
"i9";"D";"A,B,C,D,E";"i9_question
i9_choice_A
i9_choice_B
i9_choice_C
i9_choice_D
i9_choice_E

A=0
B=0
C=0
D=1
E=0
"
"i10";"B";"A,B,C,D,E";"i10_question
i10_choice_A
i10_choice_B
i10_choice_C
i10_choice_D
i10_choice_E

A=0
B=1
C=0
D=0
E=0
"
"i11";"E";"A,B,C,D,E";"i11_question
i11_choice_A
i11_choice_B
i11_choice_C
i11_choice_D
i11_choice_E

A=0
B=0
C=0
D=0
E=1
"
"i12";"C";"A,B,C,D,E";"i12_question
i12_choice_A
i12_choice_B
i12_choice_C
i12_choice_D
i12_choice_E

A=0
B=0
C=1
D=0
E=0
"
"i13";"A";"A,B,C,D,E";"i13_question
i13_choice_A
i13_choice_B
i13_choice_C
i13_choice_D
i13_choice_E

A=1
B=0
C=0
D=0
E=0
"
"i14";"D";"A,B,C,D,E";"i14_question
i14_choice_A
i14_choice_B
i14_choice_C
i14_choice_D
i14_choice_E

A=0
B=0
C=0
D=1
E=0
"
"i15";"E";"A,B,C,D,E";"i15_question
i15_choice_A
i15_choice_B
i15_choice_C
i15_choice_D
i15_choice_E

A=0
B=0
C=0
D=0
E=1
"
