"key";"correct_answer";"choices";"logic"
"i1";"A";"A,B,C,D,E";"image:
i1_question
i1_choice_A
i1_choice_B
i1_choice_C
i1_choice_D
i1_choice_E

A=1
B=0
C=0
D=0
E=0"
"i2";"B";"A,B,C,D,E";"image:
i2_question
i2_choice_A
i2_choice_B
i2_choice_C
i2_choice_D
i2_choice_E

A=0
B=1
C=0
D=0
E=0"
"i3";"E";"A,B,C,D,E";"image:
i3_question
i3_choice_A
i3_choice_B
i3_choice_C
i3_choice_D
i3_choice_E

A=0
B=0
C=0
D=0
E=1"
"i4";"C";"A,B,C,D,E";"image:
i4_question
i4_choice_A
i4_choice_B
i4_choice_C
i4_choice_D
i4_choice_E

A=0
B=0
C=1
D=0
E=0"
"i5";"D";"A,B,C,D,E";"image:
i5_question
i5_choice_A
i5_choice_B
i5_choice_C
i5_choice_D
i5_choice_E

A=0
B=0
C=0
D=1
E=0"
"i6";"B";"A,B,C,D,E";"image:
i6_question
i6_choice_A
i6_choice_B
i6_choice_C
i6_choice_D
i6_choice_E

A=0
B=1
C=0
D=0
E=0"
"i7";"D";"A,B,C,D,E";"image:
i7_question
i7_choice_A
i7_choice_B
i7_choice_C
i7_choice_D
i7_choice_E

A=0
B=0
C=0
D=1
E=0"
"i8";"B";"A,B,C,D,E";"image:
i8_question
i8_choice_A
i8_choice_B
i8_choice_C
i8_choice_D
i8_choice_E

A=0
B=1
C=0
D=0
E=0"
"i9";"E";"A,B,C,D,E";"image:
i9_question
i9_choice_A
i9_choice_B
i9_choice_C
i9_choice_D
i9_choice_E

A=0
B=0
C=0
D=0
E=1"
"i10";"A";"A,B,C,D,E";"image:
i10_question
i10_choice_A
i10_choice_B
i10_choice_C
i10_choice_D
i10_choice_E

A=1
B=0
C=0
D=0
E=0"
"i11";"E";"A,B,C,D,E";"image:
i11_question
i11_choice_A
i11_choice_B
i11_choice_C
i11_choice_D
i11_choice_E

A=0
B=0
C=0
D=0
E=1"
"i12";"A";"A,B,C,D,E";"image:
i12_question
i12_choice_A
i12_choice_B
i12_choice_C
i12_choice_D
i12_choice_E

A=1
B=0
C=0
D=0
E=0"
"i13";"E";"A,B,C,D,E";"image:
i13_question
i13_choice_A
i13_choice_B
i13_choice_C
i13_choice_D
i13_choice_E

A=0
B=0
C=0
D=0
E=1"
"i14";"B";"A,B,C,D,E";"image:
i14_question
i14_choice_A
i14_choice_B
i14_choice_C
i14_choice_D
i14_choice_E

A=0
B=1
C=0
D=0
E=0"
"i15";"A";"A,B,C,D,E";"image:
i15_question
i15_choice_A
i15_choice_B
i15_choice_C
i15_choice_D
i15_choice_E

A=1
B=0
C=0
D=0
E=0"
